screen_width: 1920 screen_height: 937
target_point: 2 target_x: 960 target_y: 38.4
x: 606.1580438522739 y: 480.3416736734877 timestamp: 1658784262051
x: 610.8270107450436 y: 470.35704953283823 timestamp: 1658784262129
x: 615.0503146575178 y: 460.7670238535565 timestamp: 1658784262208
x: 625.7406349502321 y: 476.7363438535894 timestamp: 1658784262292
x: 630.1929973075518 y: 486.5047986168324 timestamp: 1658784262375
x: 595.768093703421 y: 473.62217809527857 timestamp: 1658784262456
x: 622.2977461593691 y: 486.817924472086 timestamp: 1658784262536
x: 603.7138934007746 y: 489.93582776612413 timestamp: 1658784262619
x: 603.3944181603556 y: 483.95996290535714 timestamp: 1658784262700
x: 599.6215822923252 y: 484.0708573080594 timestamp: 1658784262779
x: 575.1361201593148 y: 486.0612710978299 timestamp: 1658784262858
x: 585.7262364539047 y: 490.6847363481179 timestamp: 1658784262938
x: 564.5188241986734 y: 477.8753525295592 timestamp: 1658784263022
x: 566.0293188105431 y: 455.6631623193772 timestamp: 1658784263103
x: 572.0047036101695 y: 462.06521760817486 timestamp: 1658784263182
x: 576.9626306421611 y: 481.62750739005503 timestamp: 1658784263260
x: 570.1628455821296 y: 486.8037960022396 timestamp: 1658784263342
x: 572.0922251994982 y: 498.4766621823772 timestamp: 1658784263423
x: 565.0502462633629 y: 458.7982364186288 timestamp: 1658784263504
x: 544.5585345543645 y: 459.82805547103163 timestamp: 1658784263583
x: 555.1296176677218 y: 470.794269482928 timestamp: 1658784263668
x: 563.1023359234684 y: 483.3231768348234 timestamp: 1658784263751
x: 548.4500288284306 y: 482.81195519788065 timestamp: 1658784263836
x: 512.0298845329218 y: 488.7869817220516 timestamp: 1658784263917
x: 538.2097859783742 y: 469.4209335790489 timestamp: 1658784263998
x: 540.6974357656258 y: 486.2694338800293 timestamp: 1658784264081
x: 572.4538551554577 y: 487.67216381396554 timestamp: 1658784264160
x: 529.8046205716581 y: 514.6316744714036 timestamp: 1658784264243
x: 537.9680965931144 y: 503.3789210163617 timestamp: 1658784264347
x: 535.1364382836427 y: 499.2528717659765 timestamp: 1658784264426
x: 501.29232481425265 y: 467.43893413166506 timestamp: 1658784264509
x: 501.557075893258 y: 455.6504842468189 timestamp: 1658784264597
x: 479.0073732556363 y: 469.04196596133517 timestamp: 1658784264679
x: 519.9083744906044 y: 449.01754781081115 timestamp: 1658784264759
x: 529.9679627233937 y: 432.7355111442771 timestamp: 1658784264840
x: 499.1038964870768 y: 466.26653484421666 timestamp: 1658784264916
x: 507.59591409309496 y: 472.71939499106264 timestamp: 1658784264995
x: 505.84637276561193 y: 454.4304166296802 timestamp: 1658784265069
x: 525.8002975404598 y: 428.8649212084138 timestamp: 1658784265143
x: 526.7698886835808 y: 415.23194480849656 timestamp: 1658784265215
x: 525.3613873410065 y: 397.2193404056498 timestamp: 1658784265290
x: 523.5063194216964 y: 383.9924193428141 timestamp: 1658784265363
x: 543.5625677550096 y: 368.47787249218726 timestamp: 1658784265433
x: 558.4729194734953 y: 361.303990683844 timestamp: 1658784265508
x: 574.172435634486 y: 355.3054488506543 timestamp: 1658784265583
x: 563.6514820112911 y: 360.19944343123643 timestamp: 1658784265657
x: 575.4174930742539 y: 373.5034958083482 timestamp: 1658784265733
x: 579.2014307297568 y: 388.74501670110743 timestamp: 1658784265804
x: 569.7890784995407 y: 382.7799721971207 timestamp: 1658784265878
x: 579.2827093592263 y: 398.7681089120428 timestamp: 1658784265956
x: 579.9668187084317 y: 409.16013663772816 timestamp: 1658784266027
x: 586.397929263827 y: 411.8763384290049 timestamp: 1658784266099
x: 589.3929644617448 y: 430.1532129262391 timestamp: 1658784266172
x: 617.6819242445849 y: 464.7917275981744 timestamp: 1658784266243
x: 653.8770855701882 y: 504.69438552849107 timestamp: 1658784266315
x: 701.6115795986206 y: 478.68558217726684 timestamp: 1658784266393
x: 748.7228403339919 y: 493.7533898250023 timestamp: 1658784266467
x: 803.3327824975647 y: 480.81597940305664 timestamp: 1658784266537
x: 827.9548037401521 y: 463.8418605258302 timestamp: 1658784266611
x: 877.5654834541137 y: 467.36263527416304 timestamp: 1658784266683
x: 917.5702979796199 y: 466.18019390233064 timestamp: 1658784266757
x: 959.7475198211345 y: 471.7086423433024 timestamp: 1658784266831
x: 965.6504791715442 y: 454.2130073411565 timestamp: 1658784266904
